author,times,average
Andy Sun ,1,0
Huayi Li ,1,0
Dongli Li ,1,0
Xiaofeng Fei ,1,0
Qipan Li ,22,410545
Ye He ,2,0
Lily.Li ,1,0
Balaji T K ,1,0
Marc Herbert ,1,0
Dor Shaish ,1,0
Lorenzo Nava ,1,0
"Liang, Kan ",1,0
Mayank Bareja ,2,265703
Zoltán Lajos Kis ,5,1166349
Kent Gustavsson ,1,0
Satish Ashok ,8,512332
Richard Watts ,1,0
Glenn Griffin ,1,0
Salvatore Mesoraca ,1,0
Ni Wade ,1,0
Radivoje Jovanovic ,4,75769
Fupan Li ,1,0
James Cowgill ,2,21685
Benjamin Randazzo ,2,8202
Alex Wilson ,2,52118
Jignesh R Patel ,1,0
Freeman Zhang ,1,0
Ciprian Manea ,1,0
Peter Huewe ,3,742747
Kevin Darbyshire-Bryant ,2,226295
Dave Perez ,1,0
Mario Bambagini ,6,270222
Pan Li ,5,0
Mark Janssen ,1,0
Remy van Elst ,1,0
Ezra Savard ,1,0
Brian Bunker ,1,0
Luis Felipe Dominguez Vega ,1,0
Chris Zankel ,2,84
Tony Battersby ,1,0
Dmitry Skorodumov ,1,0
Sanjay Singh Rawat ,1,0
Lennert Buytenhek ,11,560195
Arron Wang ,7,734357
Haggai Abramonvsky ,5,1193756
Thomas Graf ,29,268830
Bogdan Hamciuc ,2,0
Jon Maloy ,1,0
Jude.Lee ,2,70
U. Artie Eoff ,1,0
Perry Hung ,13,1396182
Kukjin Kim ,15,416966
Macpaul Lin ,4,0
Николай Кудрявцев ,1,0
Hanno Böck ,2,66
David Liu ,1,0
Qi Zhou ,1,0
Alexander Drozdov ,2,6637453
zilong.liu ,1,0
Jim Quinlan ,1,0
John Horan ,1,0
Henrik Rydberg ,2,1
Lars Westerhoff ,1,0
Dave P Martin ,10,382660
Rohit Thapliyal ,1,0
Kamil Dudka ,2,0
Kanoj Sarcar ,1,0
Buţiu Alexandru Octavian ,4,1578226
Ahmed Mohamed Abd EL Mawgood ,1,0
Yang Bo ,1,0
Jingju Hou ,1,0
Joakim Tjernlund ,2,4583515
Patrick Donnelly ,1,0
Bo Svangård ,1,0
Dongxing Zhang ,1,0
Bernhard Bender ,1,0
Seungyoun Ju ,1,0
Varka Bhadram ,19,354330
Mihai Donțu ,1,0
Eugene Korenevsky ,1,0
Steve Pennington ,1,0
Antoine BLIN ,1,0
Aaron Ouellette ,1,0
Bernd Porr ,2,0
Kolbeinn Karlsson ,1,0
Kevin Strasser ,1,0
Lai Jiangshan ,11,745643
Aaron Raimist ,1,0
Zhuang Jin Can ,3,0
Brian Campbell ,1,0
AMAN DEEP ,1,0
Vivek Trivedi ,1,0
Erik Kline ,2,5346114
Yaniv Rosner ,1,0
Arun Chandran ,2,3170142
Dan Murphy ,6,1282962
Dalon Westergreen ,1,0
Edward Hyunkoo Jee ,1,0
Russell Joyce ,1,0
Rafa? Mi?ecki ,1,0
Raphaël Poggi ,1,0
Josef Gajdusek ,1,0
Aparna Balasubramanian ,1,0
Paolo Pisati ,1,0
Pieter Hollants ,2,71094
Andreas Faerber ,1,0
Reinhard Speyerer ,2,65146
Beata Michalska ,1,0
dingtianhong ,1,0
Umesh Tiwari ,2,6
Gil Fruchter ,2,3
Sergei Trofimovich ,1,0
Alexey Firago ,1,0
Andrea Galbusera ,1,0
akpm@linux-foundation.org ,1,0
zhengxing ,2,0
Sandeep Paulraj ,1,0
Jonathan Bell ,1,0
Alex Porosanu ,1,0
Ben Goz ,12,368411
Mateusz Sylwestrzak ,1,0
Viorel Suman ,1,0
Fan Du ,3,0
Horacio Mijail Anton Quiles ,1,0
Iago López Galeiras ,2,1899555
Krishna Chaitanya ,1,0
Jesse Jones ,2,2
Alexis Green ,4,1086892
Wojciech Dubowik ,1,0
Heloise NH ,1,0
Tom Hughes ,1,0
Cristian Ardelean ,1,0
Tim Howe ,1,0
Pedro Marzo Perez ,4,1343428
Vasiliy Korchagin ,1,0
Raphaël Teysseyre ,1,0
YOSHIFUJI Hideaki ,1,0
Anuradha Karuppiah ,3,0
YOSHIFUJI Hideaki/吉藤英明 ,2,424008
Richard Stearn ,1,0
Shilpa Sreeramalu ,1,0
David Milburn ,1,0
Arne Fitzenreiter ,2,0
Leung Timothy Chi King ,1,0
Sreenath Madasu ,1,0
Peter Karlsson ,5,581972
Greg Donald ,2,2241724
Joglekar Tejas ,4,1044393
Nicholas Parkanyi ,2,0
Henri Chain ,1,0
Ken Cox ,1,0
Pawel Orlowski ,1,0
Santhosh Pai ,1,0
Guillermo O. Freschi ,1,0
Lukasz Janyst ,1,0
SungEun Kim ,1,0
Sébastien Hinderer ,4,184048
Ash Charles ,2,1
Arun Bharadwaj ,2,1787520
Perry Hooker ,1,0
Kris Baumann ,1,0
Matt Mooney ,1,0
Laurent Bigonville ,1,0
yao mark ,2,1
Enrico Mioso ,2,195232
Ana Calinov ,2,96
Kalesh Purayil ,3,0
David Thomson ,2,0
Olivier C. Larocque ,1,0
Alex Ivanov ,1,0
Jérémy Bobbio ,1,0
Aleksey S. Kazantsev ,1,0
Daniel Grimshaw ,1,0
Sage Weil ,2,425
Grigori Goronzy ,4,27567
Steven J. Magnani ,1,0
Chad Versace ,1,0
Joël Porquet ,1,0
Peter Dunning ,1,0
Anda-Maria Nicolae ,8,571902
Xi Wang ,4,1680348
Mazhar Rana ,1,0
Carol Soto ,3,1503208
Kristina Martsenko ,1,0
"Li, Liang Z ",2,854619
Y Vo ,3,1570119
Guilhem Lettron ,1,0
Brent Adam ,1,0
"Vutla, Lokesh ",6,33818
Pankaj Dev ,2,99568
Walter Lozano ,3,2454692
Kenneth Westfield ,2,0
Zhao Junwang ,1,0
Sergey Kiselev ,1,0
bsegall@google.com ,1,0
Sunghoon Cho ,8,257986
Sergej Sawazki ,8,671394
Uwe Geuder ,1,0
Takeshi Yoshimura ,5,823919
Howard Chen ,1,0
Zhu Guihua ,3,497124
"Niu,Bing ",1,0
Peter Sanford ,1,0
Roman Byshko ,2,10
Nibble Max ,1,0
Ian Molton ,5,759891
Pablo Anton ,1,0
Damian Hobson-Garcia ,1,0
Sei Fumizono ,1,0
Nobuhiro Iwamatsu ,4,1522199
Jan Roemisch ,1,0
Claudio Cappelli ,1,0
Abdiel Janulgue ,4,216
Vaidyanathan Srinivasan ,1,0
Dennis Yang ,1,0
Tomasz Duszynski ,3,2408467
Shixin Zeng ,1,0
Angga ,1,0
Roger Lucas ,1,0
Szabolcs Nagy ,1,0
John Harrison ,58,140952
James C Boyd ,4,1008542
Shilong Wang ,1,0
gongzg ,1,0
Sascha Wildner ,1,0
"Stevens, Nick ",1,0
Dominic Sacré ,1,0
Lars Poeschel ,3,390261
Josh Triplett ,3,220931
Pekka Enberg ,16,265865
Thiébaud Weksteen ,5,0
HATAYAMA Daisuke ,2,0
Robin Holt ,2,0
Yang Dongsheng ,1,0
Marek Marczykowski-Górecki ,1,0
Phong Tran ,14,350501
Shreyas Bhatewara ,4,176435
Gilad Ben-Yossef ,2,467082
Noel Power ,1,0
Damian Eppel ,1,0
Yanir Lubetkin ,15,141845
preeti ,1,0
Maxim Uvarov ,1,0
Alex Dowad ,2,2236827
Marcin Jabrzyk ,2,0
Hong Zhiguo ,1,0
Zhihui Zhang ,1,0
Jan Kardell ,1,0
Jingoo Han ,2,114958
Tianping Fang ,1,0
Selvan Mani ,1,0
Silvan Wicki ,2,537610
Thomas Langer ,1,0
Jens Freimann ,2,3978684
"Palik, Imre ",2,356114
Christoph Paasch ,1,0
Hiroaki SHIMODA ,1,0
Claudiu Zissulescu ,1,0
Dan Haab ,1,0
Zhaowei Yuan ,1,0
Martin Liška ,3,1001326
Kevin Mulvey ,2,1
Zhiqiang Zhang ,2,2683649
Isaac Assegai ,20,86796
Jimmy Devine ,1,0
Eric W Biederman ,1,0
Florian Grandel ,21,101921
Harout Hedeshian ,1,0
Raimund Roth ,1,0
Ohad Ben-Cohen ,1,0
Gnanachandran Dhanapal ,2,447967
Gaston Gonzalez ,3,402975
Daniele Alessandrelli ,2,0
Ilya Faenson ,2,17276
Chan-yeol Park ,2,1964075
Dean Lee ,4,156172
Frodo Lai ,1,0
Yuanhan Liu ,3,6
Daniel Lockyer ,1,0
Hisashi Nakamura ,1,0
Ding Wang ,1,0
Vincent Wan ,3,40256
Dominik Brodowski ,3,1398990
ChengYi He ,1,0
matt mooney ,1,0
Chandra Konduru ,19,318587
Todd Broch ,1,0
Jeremiah Mahler ,1,0
Chunfan Chen ,1,0
Kenneth Klette Jonassen ,6,720476
Naidu Tellapati ,1,0
Sergey Popovich ,16,183657
Alessandro Parini ,2,0
Dogukan Ergun ,1,0
Ryan Underwood ,1,0
Fernando Guzman Lugo ,1,0
Soeren Grunewald ,2,0
Joakim Nordell ,1,0
Harisangam Sharvari ,2,540
Ranjit Waghmode ,2,24
Terry Junge ,1,0
Arun Ramamurthy ,4,913803
Tim Kryger ,1,0
Prabu Thangamuthu ,1,0
Janet Liu ,2,5568
Gustavo Zacarias ,1,0
Jan Klötzke ,5,125
Milos Vyletel ,2,1191236
Christoffer Holmstedt ,1,0
Piotr S. Staszewski ,1,0
Tommi Rantala ,1,0
Madhusudhanan Ravindran ,3,38447
Qiaowei Ren ,1,0
Tomas Krcka ,1,0
Thomas de Beauchene ,1,0
Jeffrey Rogers ,1,0
Mark A. Greer ,12,125032
Oleg Zhurakivskyy ,1,0
Alexey Sokolov ,1,0
Tolga Ceylan ,2,2726216
Chaitanya Dhere ,3,1567
Douglas Barbonaglia Sathler Figueiredo ,1,0
Abhishek Sharma ,3,387
Hari Prasath Gujulan yyElango ,1,0
Xavier Roche ,1,0
Chris Hanna ,2,0
Aparna Karuthodi ,1,0
Josh Stone ,1,0
David Moore ,1,0
Aleksei Volkov ,1,0
Hao Liu ,1,0
Juergen Gier ,1,0
Nikhil Devshatwar ,1,0
Jaganath Kanakkassery ,1,0
Sergiy Kibrik ,1,0
Bintian Wang ,7,27874
Jack Xiao ,3,68282
Marek Milkovic ,1,0
Chao Xie ,3,10
Gaël PORTAY ,12,275541
Rojhalat Ibrahim ,2,243394
David Malcolm ,1,0
kongxinwei ,2,303
Alexey Skidanov ,3,645369
Yair Shachar ,9,25
Sébastien Szymanski ,3,651120
Thomas Niederprüm ,12,54058
Xie Xiaobo ,1,0
Peter Chubb ,1,0
Nilesh Javali ,1,0
dashsriram ,1,0
Laurentiu Palcu ,4,290475
Hiep Cao Minh ,3,1125066
Dan Ehrenberg ,1,0
Teunis van Beelen ,1,0
Chenxi Mao ,1,0
hujianyang ,2,12
Neil McKee ,1,0
Nan Jia ,2,59550
Sumit.Saxena@avagotech.com ,10,66708
Dennis O'Brien ,1,0
Goffredo Baroncelli ,2,274
Vladimirs Ambrosovs ,4,37888
Michael Ring ,2,0
Ludek Hlavacek ,1,0
Lee Campbell ,1,0
Webb Scales ,10,2575
Xudong Chen ,1,0
Drew Fustini ,1,0
Rama Kiran Kumar Indrakanti ,2,1
Fanael Linithien ,1,0
Stephen Cameron ,9,123
Ramneek Mehresh ,2,571471
Robert Schlabbach ,1,0
Abhishek Bist ,1,0
Ilias Tsitsimpis ,5,0
Michel von Czettritz ,1,0
Sai.Jiang ,1,0
Jaime Arrocha ,2,1777794
Colin Cronin ,6,198572
Marcus Folkesson ,1,0
chaehyun lim ,1,0
Sorin Dumitru ,2,284663
Mike Shuey ,8,24
"Gunasundar, Balamanikandan (B.) ",1,0
Ankit Garg ,1,0
Vasily Khoruzhick ,2,40
Jim Cromie ,1,0
Mikhail Klementyev ,1,0
Milan Broz ,1,0
Lidong Zhong ,1,0
Eran Harary ,1,0
Peter Crosthwaite ,3,963343
Gobinda Charan Maji ,1,0
Patrick Daly ,1,0
Christian Riesch ,1,0
Martin Liska ,1,0
Nam T. Nguyen ,1,0
Andrew Andrianov ,1,0
Martin Kelly ,1,0
Sri Jayaramappa ,1,0
Kevin Lo ,1,0
Vincent Fann ,1,0
Shao Fu ,5,1
Chin-ran Lo ,1,0
Lauri Kenttä ,1,0
Toshi Kikuchi ,2,1
Dylan Reid ,2,4
Martin Walch ,1,0
Amaury Denoyelle ,2,0
Nikhil Rao ,1,0
Ira Snyder ,1,0
Matt Campbell ,1,0
David Fries ,1,0
Dmitry Khromov ,1,0
Krzysztof Kolasa ,1,0
Ramakrishna Pallala ,3,217600
Urs Fässler ,1,0
Saravana Kannan ,1,0
Rajeev Kumar ,1,0
Badhri Jagan Sridharan ,1,0
Jane Wan ,1,0
Roberto Sassu ,4,239843
long.wanglong ,1,0
Wenlin Kang ,1,0
Zhiwu Song ,1,0
jean-michel.hautbois@vodalys.com ,2,1665412
Arnaud Patard (Rtp) ,1,0
Andy Zhou ,4,19983
Suchang Ko ,2,689251
Andrew Lewycky ,4,976
Martin Townsend ,1,0
Jin Qian ,2,954673
Michael Wang ,24,0
Adir Kuhn ,1,0
Kuppuswamy Sathyanarayanan ,7,411164
Zhichang Yuan ,1,0
Evgeniy Dushistov ,2,1
Brendan McGrath ,1,0
Brian Haley ,1,0
Venkata Duvvuru ,3,0
Zhang Chunyu ,1,0
Thomas Reitmayr ,1,0
Justin Cormack ,2,55235
Kast Bernd ,1,0
Chen Hanxiao ,4,575086
Joe Konno ,1,0
Michael Niewöhner ,1,0
Vince Bridgers ,2,1
Gong Zhaogang ,1,0
"Allan, Bruce W ",2,1139223
Arno Tiemersma ,2,159
Nick Kossifidis ,11,1
Fathi Boudra ,2,78783
Rebecca N. Palmer ,1,0
Todd Previte ,8,271346
Suketu Shah ,6,382752
A.Sunil Kamath ,3,957089
Preeti U Murthy ,2,265975
Palmer Dabbelt ,3,70
Maxime Coquelin stm32 ,1,0
Leonardo Carreras ,1,0
Guillaume Brogi ,1,0
Nickolaus Woodruff ,1,0
Robin Karlsson ,1,0
Carlos E. Garcia ,1,0
Rupesh Tatiya ,1,0
Michal Malý ,15,0
Sylvain BERTRAND ,1,0
James Sullivan ,2,1
Guido Martínez ,2,0
Semen Protsenko ,3,85727
Sonic Zhang ,1,0
Shawn Landden ,1,0
Srikanth Thokala ,8,0
Robert Callicotte ,1,0
Andreas Sandberg ,1,0
Ajay Thomas ,1,0
Petr Holasek ,1,0
David Riley ,1,0
Steven Toth ,6,54
Brian Bian ,1,0
"Ong, Boon Leong ",1,0
Roberta Dobrescu ,4,614017
Gbenga Adalumo ,1,0
Andrei Maresu ,1,0
Charlie Wong Super ,2,0
Andreas Theodosiou ,1,0
Dzmitry Sledneu ,1,0
Karim BEN BELGACEM ,1,0
Jingwu Lin ,1,0
Nicolas Dechesne ,2,9
Jin Yao ,1,0
Sonny Rao ,1,0
firo yang ,1,0
Andreas Fleig ,1,0
Hagen Paul Pfeifer ,1,0
Josef Holzmayr ,1,0
Vianney le Clément de Saint-Marcq ,6,159056
Satheeshakrishna M ,8,84213
Sagar Kamble ,2,241806
Jeff McGee ,4,0
Sumit Singh ,1,0
Daisy Sun ,1,0
Sujith Manoharan ,1,0
Marek Puzyniak ,5,7
SenthilKumar Jegadeesan ,1,0
Matt Porter ,33,410104
Bill Pemberton ,3,58
